Mineral,Name,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,NiO,Na2O,K2O,Total,Date,dataset
no,P3-6-2,0.04,0.05,31.79,10.33,0.12,16.77,0,0,0.01,25.44,0.15,0.14,84.85,2012-03-14 5:49,test
no,P4-9-6,0.05,0,40.51,12.62,0.14,17.54,0.01,0,0.01,28.74,0.17,0.12,99.9,2012-03-13 22:08,train
no,P4-9-7,0.06,0,40.55,12.64,0.15,16.78,0,0.01,0.01,28.84,0.17,0.14,99.36,2012-03-13 22:11,train
no,P4-1-4,0.97,0,40.68,12.15,0.15,17.23,0,0,0.01,29.19,0.16,0.19,100.72,2012-03-13 19:38,test
no,P3-9-5,0.04,0,32.29,12.29,0.15,15.86,0.03,0,0,31.16,0.07,0.09,91.98,2012-03-14 7:19,train
no,P3-8-2,0.06,0,34.49,11.32,0.12,17.45,0,0,0.01,31.17,0.13,0.12,94.87,2012-03-14 6:47,train
no,P1-14,0.08,0.03,38.03,11.08,0.13,18.32,0,0,0.01,31.56,0.13,0.19,99.55,2012-03-14 8:49,train
no,P4-18-3,0.05,0,37.39,11.19,0.12,17.56,0,0,0.01,32.66,0.13,0.17,99.27,2012-03-14 0:35,test
no,P3-8-5,0.08,0,35.61,12.31,0.16,16.56,0,0.01,0,33.08,0.09,0.12,98.03,2012-03-14 6:59,train
no,P4-22-17,0.03,0,37.11,12.89,0.13,16.27,0,0.01,0,33.31,0.1,0.09,99.94,2012-03-14 3:05,train
no,P3-9-2,0.03,0,35.76,13.21,0.16,16,0,0,0.01,34.7,0.11,0.07,100.04,2012-03-14 7:07,test
no,P3-9-3,0.04,0.01,35.51,12.98,0.14,16.12,0.04,0.01,0,34.85,0.07,0.08,99.85,2012-03-14 7:11,train
no,P1-17,0.09,3.86,9.14,24.37,0.35,13.22,0.15,0.01,0.01,48.09,0.14,0.16,99.59,2012-03-14 9:01,train
sp,LB9-2-33,0.24,0.19,44.07,0.1,21.19,19.07,0,0.27,13.82,0.04,0,0,99,2011-10-28,test
sp,LB9-2-18,0.37,0.36,38.41,0.12,26.92,18.24,0.02,0.36,14.48,0.1,0,0.02,99.38,2011-10-28,train
sp,LB5-2-27,0.08,-0.01,39.05,0.16,28.32,17.08,0.23,0.13,12.18,0.19,0.01,0.01,97.43,2011-10-28,train
sp,LB5-2-32,0.05,0,39.32,0.14,28.34,16.83,0.01,0.13,13.07,0.2,0,0.01,98.11,2011-10-28,test
sp,LB5-1-35,0.04,0.02,39.22,0.14,28.8,16.44,0,0.14,13.54,0.17,-0.01,0,98.51,2011-10-29,train
sp,LB5-2-33,0.02,0,38.83,0.13,29,16.42,0.01,0.15,13.65,0.18,0,0.01,98.4,2011-10-28,train
sp,LB5-1-8,0.04,0.01,38.82,0.14,29.01,16.81,0.02,0.13,13.26,0.16,0,0.01,98.42,2011-10-28,test
sp,LB5-1-37,0.03,0.02,38.52,0.14,29.86,16.08,0.02,0.13,13.73,0.19,0.02,0,98.73,2011-10-29,train
sp,LB5-1-50,0.04,0.01,38.34,0.13,30.02,16.16,0.05,0.12,13.65,0.16,0,0,98.7,2011-10-29,train
sp,LB9-1-123,0.35,0.21,37.24,0.13,30.15,17.07,0,0.26,15.1,0.04,0.02,0.02,100.57,2011-10-28 1:13,test
sp,LB5-2-7,0.01,0.01,36.94,0.14,31.37,16.01,0.02,0.17,14.03,0.14,0,0.01,98.86,2011-10-28,train
sp,LB5-1-52,0.02,0.03,36.58,0.14,31.88,15.86,0.01,0.16,14.1,0.16,0,0,98.94,2011-10-29,train
sp,LB9-1-60,0.15,0.76,30.51,0.17,35.48,17.36,0,0.16,14.35,0.23,0.01,0.04,99.22,2011-10-27 21:20,test
sp,LB9-1-81,1.65,0.68,29.43,0.17,36,16.63,0,0.24,14.72,0.16,0,0.03,99.72,2011-10-27 22:38,train
sp,LB9-1-72,0.59,0.6,29.84,0.2,36.95,15.75,0.01,0.29,15.1,0.14,0.01,0.06,99.52,2011-10-27 22:05,train
sp,LB9-1-79,0.2,0.82,28.6,0.2,37.32,16.94,0.01,0.19,14.86,0.16,-0.01,0.02,99.32,2011-10-27 22:30,test
sp,LB9-1-82,1.21,0.77,26.19,0.15,37.54,16.88,0.19,0.22,15.2,0.15,0,0.01,98.52,2011-10-27 22:41,train
sp,LB9-1-59,0.17,0.75,28.62,0.19,37.56,16.55,0,0.22,14.47,0.22,0.01,0.04,98.79,2011-10-27 21:16,train
sp,LB9-1-77,0.79,0.81,27.39,0.15,37.93,16.87,0.01,0.25,14.79,0.14,0,0.09,99.23,2011-10-27 22:23,train
sp,LB9-1-92,1.47,0.52,25.4,0.18,37.96,16.14,0.02,0.33,16.36,0.09,0,0.05,98.54,2011-10-27 23:19,train
sp,LB9-1-80,0.17,0.42,28.33,0.18,38.33,16.23,0,0.29,15.47,0.11,0.03,0.01,99.58,2011-10-27 22:34,test
sp,LB9-1-45,0.14,0.35,28.51,0.15,38.4,16.24,0.01,0.24,15.19,0.12,0,0.04,99.39,2011-10-27 20:25,train
sp,LB9-1-74,0.13,0.92,26.27,0.2,39.61,16.94,0,0.21,14.98,0.17,0.01,0.02,99.47,2011-10-27 22:12,train
sp,LB9-1-75,0.14,0.92,26.4,0.2,39.73,16.71,0.01,0.19,14.79,0.17,-0.01,0.04,99.31,2011-10-27 22:16,train
sp,LB9-1-73,0.44,1.11,25.75,0.22,39.97,16.84,0.06,0.21,14.96,0.2,0,0.01,99.75,2011-10-27 22:08,test
sp,LB9-1-76,0.6,1.31,24.58,0.22,40.25,17.46,0.05,0.17,15.04,0.2,-0.01,0.02,99.91,2011-10-27 22:19,train
sp,LB15-20,0.04,0.03,30.42,0.18,40.52,15.16,0,0.16,13.19,0.09,0.06,0.03,99.89,2012-02-17 6:09,train
sp,LB15-26,0.01,0,30.24,0.19,40.53,16.14,0,0.17,12.44,0.11,0,0.01,99.85,2012-02-17 6:32,test
sp,LB15-21,0.01,0.02,30.09,0.19,40.77,15.04,0,0.18,13.63,0.06,0,0.01,100.01,2012-02-17 6:13,train
sp,LB15-23,0.03,0.01,30.05,0.21,40.87,15.01,0,0.17,13.38,0.07,0,0.01,99.79,2012-02-17 6:20,train
sp,LB9-1-46,0.15,1.12,24.33,0.21,41.57,15.94,0.01,0.21,15.41,0.19,0.01,0.01,99.17,2011-10-27 20:29,train
sp,LB15-6,0.08,0,27.96,0.2,42.06,15.48,0.17,0.17,13.18,0.07,0,0.01,99.39,2012-02-17 5:14,test
chr,LB9-1-31,0.13,2.69,9.5,0.1,43.84,12.92,0.02,0.41,27.24,0.18,-0.01,0.04,97.07,2011-10-27 19:33,train
sp,LB7-58,0.05,0.05,21.87,0.18,47.69,14.73,0.01,0.19,13.69,0.11,-0.01,0,98.57,2011-10-29,train
chr,LB1-5,0.04,0.13,9.78,0.3,59.01,11.16,0,0.26,19.18,0.06,0.01,0.01,99.93,2011-10-29,test
chr,LB1-6,0.02,0.11,9.32,0.31,59.16,9.92,0.01,0.24,19.33,0.06,0,0.01,98.51,2011-10-29,train
